% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
648	2	4	78	0	20	161	0	1	1
649	1	5	20	0	20	161	0	1	0
649	1	15	12	0	20	161	0	1	0
649	2	12	82	0	20	161	0	1	1
649	2	1	87	0	20	161	0	1	1
650	1	7	29	0	20	161	0	1	0
650	1	9	39	0	20	161	0	1	0
650	2	6	91	0	20	161	0	1	1
650	2	13	94	0	20	161	0	1	1
651	1	2	50	0	20	161	0	1	0
651	1	11	58	0	20	161	0	1	0
651	2	14	1	0	20	161	0	1	1
651	2	3	96	0	20	161	0	1	1
652	1	8	71	0	20	161	0	1	0
652	1	10	63	0	20	161	0	1	0
652	2	15	12	0	20	161	0	1	1
652	2	5	20	0	20	161	0	1	1
653	1	4	78	0	20	161	0	1	0
653	1	12	82	0	20	161	0	1	0
653	2	7	29	0	20	161	0	1	1
653	2	9	39	0	20	161	0	1	1
654	1	1	87	0	20	161	0	1	0
654	1	6	91	0	20	161	0	1	0
654	2	2	50	0	20	161	0	1	1
654	2	11	58	0	20	161	0	1	1
655	1	3	96	0	20	161	0	1	0
655	1	13	94	0	20	161	0	1	0
655	2	10	63	0	20	161	0	1	1
655	2	8	71	0	20	161	0	1	1
656	1	14	1	0	20	161	0	1	0
656	1	15	12	0	20	161	0	1	0
656	2	4	78	0	20	161	0	1	1
656	2	12	82	0	20	161	0	1	1
657	1	5	20	0	20	161	0	1	0
657	1	7	29	0	20	161	0	1	0
657	2	1	87	0	20	161	0	1	1
657	2	6	91	0	20	161	0	1	1
658	1	2	50	0	20	161	0	1	0
658	1	9	39	0	20	161	0	1	0
658	2	13	94	0	20	161	0	1	1
658	2	3	96	0	20	161	0	1	1
659	1	10	63	0	20	161	0	1	0
659	1	11	58	0	20	161	0	1	0
659	2	14	1	0	20	161	0	1	1
659	2	15	12	0	20	161	0	1	1
660	1	4	78	0	20	161	0	1	0
660	1	8	71	0	20	161	0	1	0
660	2	5	20	0	20	161	0	1	1
660	2	7	29	0	20	161	0	1	1
661	1	1	87	0	20	161	0	1	0
661	1	12	82	0	20	161	0	1	0
661	2	9	39	0	20	161	0	1	1
661	2	2	50	0	20	161	0	1	1
662	1	6	91	0	20	161	0	1	0
662	1	13	94	0	20	161	0	1	0
662	2	11	58	0	20	161	0	1	1
662	2	10	63	0	20	161	0	1	1
663	1	3	96	0	20	161	0	1	0
663	1	14	1	0	20	161	0	1	0
663	2	8	71	0	20	161	0	1	1
663	2	4	78	0	20	161	0	1	1
